contig	ID	RCC01	RCC02	RCC03	RCC04	RCC05	RCC6	RCC07	RCC08	RCC09	RCC10	RCC11	RCC12	RCC13	RCC14	RCC15	RCC16	RCC17	RCC18	RCC19	RCC20	RCC21	RCC22	RCC23	RCC24
miR-4767-5p	miR-4767-5p	23	16	8	0	12	16	21	5	32	14	11	1	6	11	44	6	27	10	14	0	15	29	14	10
miR-4649-3p	miR-4649-3p	23	4	2	11	14	8	14	18	10	5	5	9	2	9	12	0	6	3	3	10	7	28	10	6
miR-24-3p	miR-24-3p	23	13138	5092	9020	19505	25205	950	36	620	29507	13004	2057	11507	44368	6497	7900	25323	17474	24339	138	22231	2073	8493	62172
miR-12131-5p	miR-12131-5p	23	31	23	21	22	36	16	13	27	8	15	12	5	47	18	12	11	13	5	11	10	5	9	12
miR-136-5p	miR-136-5p	23	74	39	0	145	71	29	11	16	141	59	33	71	100	96	27	111	169	107	42	103	17	104	115
miR-6805-3p	miR-6805-3p	23	34	15	14	18	43	3	35	37	17	8	33	18	15	16	24	12	20	4	4	20	28	15	36
miR-3200-5p	miR-3200-5p	23	10	4	1	4	4	3	1	1	6	2	1	2	14	9	0	17	0	10	15	0	6	6	15
miR-141-5p	miR-141-5p	23	2	6	0	7	9	2	14	5	5	3	0	1	18	3	1	9	4	2	3	3	1	10	11
miR-199a-2-3p	miR-199a-2-3p	22	8210	2296	3300	22541	20495	484	43	406	13973	9463	1993	5966	55663	3362	3560	7124	33932	17163	224	15618	1376	9102	77024
miR-331-3p	miR-331-3p	22	602	404	252	660	587	162	24	73	1286	517	184	1022	847	253	402	1297	977	785	96	965	246	390	1205
miR-6821-5p	miR-6821-5p	22	3	2	0	4	6	9	11	25	2	5	7	11	7	8	4	4	1	1	14	10	19	3	2
miR-4518-5p	miR-4518-5p	22	11	0	0	7	17	7	4	5	10	3.5	9	12	5	15.5	5	5	6	5	14	3	9	9.5	14
miR-128-3p	miR-128-3p	22	612	344	154	973	1389	144	9	56	1772	686	155	842	2151	288	370	1084	1104	1154	46	1057	199	478	3313
miR-3173-5p	miR-3173-5p	22	9	6	14	10	4	12	6	3	12	12	20	9	13	10	27	18	22	20	13	48	11	6	7
miR-3059-3p	miR-3059-3p	22	7	4	0	2	16	9	20	16	5	3	23	0	2	48	12	0	1	3	32	17	4	10	14
miR-3618-3p	miR-3618-3p	22	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	3	0	0	0	0	0	7	1
miR-4787-5p	miR-4787-5p	22	37	15	12	24.5	59	25	30	60	8	8	6	6	29	42	14	5	21	4.5	9	9	5	27	10
miR-345-3p	miR-345-3p	22	13	4	14	1	7	9	15.66666667	12.5	4	5	12	11	4	14	6	3	6	3.5	32	0	6	2	10
miR-370-3p	miR-370-3p	22	22	21	12	99	35	48	34	77	30	53	62	70	81	60	45	35	146	78	257	97	55	41	81
miR-1273c-3p	miR-1273c-3p	22	26.5	6.5	2	18.5	20.33333333	19	13	28.5	24	11.5	16	17	15	24	8.75	18.5	14	8	29	19	18	16	18
miR-638-5p	miR-638-5p	22	24	1	4	25	17	15	16	9	25	10	31	31	34	77	9	20	25	19	8	30	11	25	28
miR-629-5p	miR-629-5p	22	238	106	83	138	261	79	25	61	240	120	75	363	240	178	135	384	223	334	35	250	151	156	178
miR-484-5p	miR-484-5p	22	354	188	164	878	617	60	3	58	520	605	68	497	1083	677	225	521	521	867	26	561	182	309	1109
miR-924-5p	miR-924-5p	21	0	1	5	0	2	0	0	0	0	0	1	0	0	0	0	0	2	2	0	3	3	0	0
miR-30c-1-3p	miR-30c-1-3p	21	41	16	1	21	27	25	5	21	51	37	25	79	87	33	18	52	86	57	17	65	26	31	128
miR-200b-3p	miR-200b-3p	21	10065	2660.5	1560	2357	1196.5	774	49	503	16728	10215.5	2068	11546.5	45500	1661	2268	9564.5	17036.5	6781	438	12599.5	1690	6457.5	54033
miR-1468-5p	miR-1468-5p	21	66	35	41	19	78	25	23	0	64	41	46	25	33	26	42	39	110	76	54	108	46	22	96
miR-7151-3p	miR-7151-3p	21	0	0	0	0	2	4	0	1	1	0	0	2	5	4	0	0	0	5	0	4	1	0	4
miR-6071-3p	miR-6071-3p	21	3	5	1	3	3	12	0	9	8	8	6	5	3	3	3	5	8	0	1	3	2	14	3
miR-219a-1-5p	miR-219a-1-5p	21	24	11	0	37	18	8	20	34	17	23	18	20	17	22	4	9	31.5	6	31	21	19	16	33
miR-4433b-3p	miR-4433b-3p	21	0	0	0	3	3	0	1	0	3	4	3	1	0	0	0	0	0	0	0	0	0	3	0
miR-3917-3p	miR-3917-3p	21	6	2	0	7	4	9	3	5	2	0	1	8	2	8	2	6	4	2	0	5	0	3	4
miR-25-5p	miR-25-5p	21	19	12	10	20	17	6	2	11	11	14	2	14	13	17	13	41	26	8	6	43	20	15	22
miR-6721-3p	miR-6721-3p	20	1	0	0	0	3	1	4	7	0	0	2	0	0	4	0	2	3	1	0	2.5	0	2	9
miR-518e-5p	miR-518e-5p	20	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	5
miR-505-3p	miR-505-3p	20	474	355	140	936	1059	164	46	105	1930	529	235	746	1354	429	600	1161	1292	1226	91	1476	364	570	1696
miR-23b-5p	miR-23b-5p	20	51	40	10	25	43	18	8	14	115	29	44	45	96	25	28	75	76	78	3	167	40	42	123
miR-4314-5p	miR-4314-5p	20	0	2	0	7	0	6	7	4	1	1	2	6	0	0	2	0	0	1	3	4	1	0.666666667	1
miR-7846-5p	miR-7846-5p	20	2	2	0	9	2	5	0	3	0	6	0	5	8	6	1	6	1	6	0	3	8	5	8
miR-137-5p	miR-137-5p	20	5	7	0	14	13	7	0	0	7	7	7	6	7	0	4	8	0	3	2	3	2	6	5
miR-503-5p	miR-503-5p	20	164	58	28	370	1075	7	0	32	690	280	27	381	684	236	171	557	192	271	6	319	35	64	1491
miR-1268a-3p	miR-1268a-3p	20	22	33	18	26	40	5	18	16	32	24	12	13	27	27	12	30	32	30	5	32	11	23	42
miR-1976-3p	miR-1976-3p	20	2	3	3	14	4	3.5	0	14	15	10	6	26	11	15	5	17	11	14	3	35	30	6	7
miR-6819-5p	miR-6819-5p	20	1	0	0	0	0	0	0	0	0	0	2	2	3	0	0	0	2	6	0	1	3	0	1
miR-3620-3p	miR-3620-3p	20	4	2	0	9	2	4	2	7	15	11	0	3	4	0	5	19	3	1	0	3	0	4	4
miR-128-1-5p	miR-128-1-5p	20	81	40	21	92	106	63	3	52	141	66	41	56	121	83	35	115	93	95	30	109	43	79	85
miR-6769b-5p	miR-6769b-5p	20	0	0	0	0	0	0	3	0	0	1	1	4	4	0	0	0	1	0	7	0	0	3	0
miR-3167-5p	miR-3167-5p	20	54	25	13	44	57	47	8	23	31	16	78	22	18	101	20	101	8	58	71	48	22	39	28
miR-1249-3p	miR-1249-3p	20	85	65	19	123	63	47	32	88	67	49	58	163	64	104	70	125	149	107	64	100	132	27	74
miR-4440-5p	miR-4440-5p	19	19	8	12	16	15	4	6	10	23	12	9	7	7	32	2	24	13	18	17	20	4	20	9
miR-142-5p	miR-142-5p	19	2082	659	813	6863	4703	235	17	326	4261	1254	587	3790	13176	3940	3578	6651	18929	3960	70	4325	780	3365	8199
miR-583-3p	miR-583-3p	19	0	0	0	0	4	0	0	0	3	0	0	4	1	0	0	2	0	0	2	3	0	0	0
miR-762-5p	miR-762-5p	19	26	14	17	47	28	17	21	24	31	38	15	16	34	37	15	44	54	46	4	39	18	50	30
miR-6812-5p	miR-6812-5p	19	136	55	10	67	132	38	31	79	55	111	50	41	243	36	17	77	133	13	1	61	11	143	502
miR-519e-5p	miR-519e-5p	19	0	1	0	0	4	0	5	0	6	0	8	0	1	0	0	0	1	3	0	5	0	5	3
miR-6893-3p	miR-6893-3p	19	4	1	0	0	1	4	0	8	3	6	7	3	2	14	3	2	3	7	49	2	5	3	0
miR-1261-5p	miR-1261-5p	19	272	79	74	245	405	74	27	117	281	304	84	500	195	242	222	428	461	118	35	382	131	214	443
miR-4738-3p	miR-4738-3p	19	13	3	30	11	14	10	9	9	4	7	6	6	21	14	3	16	14	9	6	6	5	1	6
miR-6750-5p	miR-6750-5p	19	17	16	11	21	80	4	0	5	37	37	13	12	39	12	8	43	17	11	1	38	8	44	38
miR-558-3p	miR-558-3p	19	0	4	0	2	2	0	0	10	0	1	0	3	1	2	5	5	3	0	0	4	1	1	5
miR-181b-1-5p	miR-181b-1-5p	19	2558	1584	733	3630.5	3403.5	345	12	237.5	4918.5	3149.5	550	5617	4002	1409	1717	7759	3028	5392.5	94	4224.5	1511.5	1404	4464
miR-6809-3p	miR-6809-3p	19	0	2	0	4	4	2	2	4	1	2	3	1	2	4	4	4	9	6	20	0	7	0	1
miR-12133-5p	miR-12133-5p	19	14	19	18	20	83	9	0	7	26	17	7	2	7	4	2	27	16	12	1	5	3	15	10
miR-3138-5p	miR-3138-5p	19	15	10	20	16	23	2	4	3	34	21	2	12	0	1	19	15	10	21	9	14	0	8	9
miR-135a-1-3p	miR-135a-1-3p	19	2	3	0	3	2	0	0	2	9	2	0	0	6	0	4	3	2	0	1	6	0	2	9
miR-378i-5p	miR-378i-5p	18.5	20.16666667	6	0.5	33.83333333	16.5	6	8.5	11	18.16666667	11.16666667	15	8.5	5.166666667	37	4	8.833333333	40.16666667	13.16666667	17.5	5.666666667	12	10.66666667	10.5
miR-3182-3p	miR-3182-3p	18	0	9	7	12	41	10	60	13	12	2	15	1	12	28	25	4	0	3	3	4	2	0	6
miR-320d	miR-320d	18	130	78	20	60	96	120	96	82.4	82	96	111	96	77	134	69	126	61	123	273	113	159	51	51
miR-326-3p	miR-326-3p	18	64	27	25	63	45	38	4	26	38	33	25	73	73	62	49	60	127	88	16	71	33	51	100
miR-6717-3p	miR-6717-3p	18	1	5	0	2	4	0	0	0	3	0	2	4	0	0	0	0	2	0	0	1	1	8	2
miR-6743-3p	miR-6743-3p	18	28	10	1	31	8	7	25	10	13	5	13	10	4	9	1	7	4	8	5	7	4	14	4
miR-550b-2-5p	miR-550b-2-5p	18	11	7	14	0	6	6	6	0	1	1	0	12	6.4	5	1	9	1	2	0	1	5	4	0
miR-3652-5p	miR-3652-5p	18	15	10	0	15	12	20	18	36	12	9	10	11.5	13	8	5	5	22	8	9	13	8	13	6
miR-933-5p	miR-933-5p	18	9	4	1	8	10.33333333	3	34	13	5.333333333	10	10	0	4	16	5	0	2	1	5	12	5	6	4
miR-6880-5p	miR-6880-5p	18	0	0	0	0	4	0	9	4	0	0	3	0	1	9	0	1	0	0	12	0	0	2	2
miR-4679-1-5p	miR-4679-1-5p	18	9	3	0	2	1	4	12	6	8	2	2	2	2	10	13	5	25	13	1	3	0	0	7
miR-1915-5p	miR-1915-5p	18	75	41	87	47	107	34	31	25	98	90	19	10	91	58	23	77	66	89	23	45	27	83	69
miR-138-2-3p	miR-138-2-3p	18	1440	734	947	1166	1551	98	23	258	1616	534	386	1251	1014	842	975	2407	682	1457	77	1415	323	830	1428
miR-658-5p	miR-658-5p	18	5	4	4	3	10	8	4	6	5	13	0	1	2	1	2	0	3	5	3	11	0	3	1
miR-6834-5p	miR-6834-5p	18	0	1	0	0	2	1	1	5	0	0	3	1	0	0	3	0	0	0	0	4	2	0	7
miR-3195-3p	miR-3195-3p	18	26	24	33	36	46	21	41	56	24	23	14	14	54	48	35	24	37	19	20	20	27	31	38
miR-12121-3p	miR-12121-3p	18	10	15	9	51	8	27	62	81	22	22	11	17	40	28	11	8	35	3	18	16	29	110	28
miR-342-5p	miR-342-5p	18	114	52	12	90	70	47	6	82	92	51	29	130	99	151	120	129	265	77	35	186	44	69	74
miR-21-3p	miR-21-3p	18	298	214	245	1691	2130	66	13	27	1074	1307	53	1659	1439	418	392	1344	844	663	28	1025	247	457	1923
miR-4784-5p	miR-4784-5p	18	28	13	2	10	27	18	22	14	21	22	4	13	4	23	10	16	22	39	23	13	10	20	10
miR-363-3p	miR-363-3p	18	351	64	398	978	367	125	12	104	738	330	272	326	4085	1891	390	538	1619	936	42	1142	181	533	8013
miR-125a-3p	miR-125a-3p	18	29	21	0	60	41	9	7	27	76	36	42	42	137	21	29	62	123	56	35	135	63	54	156
miR-3615	miR-3615	18	0	7	7	26	23	14	0	5	19	4	5	32	23	8	19	16	20	38	14	18	17	0	26
miR-548bb-5p	miR-548bb-5p	18	10	3	0	3	8	1	4	8	21	17	15	14	6	6	5	15	33	1	4	16	8	7	37
miR-1281-3p	miR-1281-3p	17	19	3	6	30	27	13	30	11	19	12	25	14	25	37	7	12	12	6	14	31	9	7	82
miR-4745-5p	miR-4745-5p	17	0	0	0	0	1	0	0	2	0	0	4	0	2	3	1	2	1	0	1	0	7	1	4
miR-4429-5p	miR-4429-5p	17	20	14	0	19	5	29	8	58	29	16.16666667	23	44	14	52	29	23	24	41.16666667	53.125	37	36	11	13.125
miR-3945-3p	miR-3945-3p	17	0	0	0	0	0	1	0	1	3	1	0	0	1	0	1	5	2	0	0	3	0	1	2
miR-4436a-3p	miR-4436a-3p	17	11	13	0	20	9	10	29	28	5.2	15	7	4	13	14	5	3	17	2	16	2	8	7	8.5
miR-6512-5p	miR-6512-5p	17	13	5	0	4	4	14	5	55	6	16	10	20	9	4	4	13	7	6	19	8	9	7	4
miR-664-5p	miR-664-5p	17	47	51	16	76	65	23	11	37	98	64	49	92	162	55	39	82	170	74	64	127	52	52	146
miR-26a-2-3p	miR-26a-2-3p	17	57	39	29	84	90	5	0	1	200	80	16	105	175	15	47	177	304	170	6	237	56	81	233
miR-542-3p	miR-542-3p	17	1308	391	444	1151	1736	157	44	315	3750	1015	259	1181	1612	736	944	2594	1306	1587	98	1778	140	501	4790
miR-191-3p	miR-191-3p	17	1	11	11	20	11	11	10	1	27	14	9	20	18	34	5	8	50	27	28	49	23	25	51
miR-410-5p	miR-410-5p	17	160	49	79	36	77	102	29	36	135	58	41	125	21	119	44	264	64	106	78	162	106	76	47
miR-4539-5p	miR-4539-5p	17	1	0	0	1	3	6	3	1	11	0	2	5	2	5	2	0	4	0	4	2	9	2	0
miR-3127-5p	miR-3127-5p	17	4	4	0	1	3	0	7	1	2	0	0	1	7	0	5	6	1	0	0	0	5	0	12
miR-4795-3p	miR-4795-3p	17	2	0	8	0	2	1	3	0	3	1	0	0	3	0	3	0	1	0	7	0	0	0	6
miR-543-3p	miR-543-3p	17	0	3	9	64	22	0	0	2	20	24	2	7	72	7	10	12	47	52	5	27	6	15	54
miR-6727-3p	miR-6727-3p	17	0	2	0	8	2	0	0	0	0	0	0	4	2	0	0	1	1	0	11	2	2	0	2
miR-1-2-3p	miR-1-2-3p	17	774	84	1226	641	752	141	3	61	615	594	453	453	3670	461	260	384	1830	1126	75	1498	230	600	7316
miR-4425-3p	miR-4425-3p	17	313	69	70	249	278	189	101	835	3694	832	237	247	173	108	388	509	1452	54	113	4597	991	1856	6477
miR-4304-3p	miR-4304-3p	16	3	0	0	3	1	0	0	2	3	0	2	4	0	7	4	2	2	0	1	0	0	2	3
miR-208a-5p	miR-208a-5p	16	7	0	8	4	1	0	3	0	0	0	0	0	1	0	0	0	2	0	2	0	2	0	2
miR-18a-5p	miR-18a-5p	16	164	133	84	483	378	25	0	6	573	154	18	159	800	657	135	346	245	433	10	142	48	226	588
miR-29a-5p	miR-29a-5p	16	102	30	23	77	37	48	3	38	82	56	90	129	72	83	60	130	158	94	120	102	80	58	109
miR-7108-5p	miR-7108-5p	16	0	3	9	21	10	5	14	22	2	6	7	1	11	11	3	7	0	2	3	14	0	12	14
miR-3144-3p	miR-3144-3p	16	10	19	12	18	48	9	1	11	24	31	22	17	12	18	21	31	15	42	13	48	14	26	33
